Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
NABIL,4/27/2025,490,490,483.2,485.01,-0.18%,"50,578.00","24,578,874.70"
NABIL,4/24/2025,483,489.9,483,485.87,-0.18%,"30,597.00","14,863,308.90"
NABIL,4/23/2025,487,488,482,486.77,-0.20%,"65,014.00","31,491,464.60"
NABIL,4/22/2025,490,494,485,487.76,-0.63%,"31,332.00","15,266,150.50"
NABIL,4/21/2025,494.9,495,490,490.87,-0.25%,"49,104.00","24,161,003.30"
NABIL,4/20/2025,500,501.2,490,492.09,-0.46%,"79,228.00","39,103,117.80"
NABIL,4/17/2025,490.8,495.6,489,494.38,1.04%,"54,656.00","26,922,513.40"
NABIL,4/16/2025,497,497,488,489.31,0.28%,"43,376.00","21,240,560.50"
NABIL,4/15/2025,496,496,486,487.96,0.20%,"62,586.00","30,517,392.00"
NABIL,4/13/2025,495.6,495.6,484.1,486.97,0.21%,"44,237.00","21,506,720.90"
NABIL,4/10/2025,491,492.4,484,485.97,-0.06%,"30,292.00","14,717,797.10"
NABIL,4/9/2025,494,494,483.2,486.27,0.33%,"26,187.00","12,744,525.00"
NABIL,4/8/2025,485,486,478,484.65,-0.48%,"38,820.00","18,746,522.30"
NABIL,4/7/2025,490,497,482,486.97,-0.36%,"46,130.00","22,422,636.00"
NABIL,4/3/2025,491,494,486.1,488.73,0.72%,"42,041.00","20,602,284.70"
NABIL,4/2/2025,494.2,494.2,484,485.26,0.14%,"36,189.00","17,575,535.20"
NABIL,4/1/2025,490,493,483,484.56,-0.29%,"37,377.00","18,155,530.10"
NABIL,3/30/2025,485,492,484,485.96,0.18%,"52,866.00","25,868,427.10"
NABIL,3/27/2025,490.9,490.9,480,485.09,0.79%,"38,210.00","18,513,985.20"
NABIL,3/26/2025,485,485,477,481.31,0.25%,"49,757.00","23,916,849.50"
NABIL,3/25/2025,485,485,478,480.13,-0.81%,"78,144.00","37,494,028.20"
NABIL,3/24/2025,484.5,486,476.5,484.03,0.29%,"54,964.00","26,524,696.80"
NABIL,3/23/2025,488,488,482,482.62,-0.96%,"48,632.00","23,544,363.10"
NABIL,3/20/2025,489,490,487,487.31,-0.33%,"36,716.00","17,908,359.70"
NABIL,3/19/2025,495,496,487,488.9,-0.51%,"49,272.00","24,118,449.00"
NABIL,3/18/2025,499.8,499.8,488,491.4,0.29%,"28,929.00","14,222,960.90"
NABIL,3/17/2025,491.1,498,486,490,-0.22%,"41,530.00","20,417,432.30"
NABIL,3/16/2025,494.9,494.9,485,491.1,0.02%,"71,238.00","34,682,594.90"
NABIL,3/12/2025,494,494,489,491,0.00%,"39,132.00","19,204,640.20"
NABIL,3/11/2025,492,495,486.1,491,0.00%,"45,903.00","22,559,000.90"
NABIL,3/10/2025,496,500,490,491,-0.81%,"44,625.00","21,979,031.80"
NABIL,3/9/2025,498,502,493,495,-0.62%,"53,038.00","26,380,628.30"
NABIL,3/5/2025,509.5,509.5,498.5,499,-1.58%,"66,686.00","33,396,397.30"
NABIL,3/4/2025,520,520,504,507,-1.55%,"116,499.00","59,229,782.70"
NABIL,3/3/2025,523,529.2,515,515,-0.77%,"110,922.00","57,782,578.40"
NABIL,3/2/2025,511.8,519,506,519,3.43%,"114,489.00","58,797,746.20"
NABIL,2/27/2025,498.7,518,498,501.8,2.62%,"123,140.00","61,837,235.80"
NABIL,2/25/2025,490,490,488,489,0.00%,"36,470.00","17,831,334.20"
NABIL,2/24/2025,490,495,488.5,489,-0.18%,"63,464.00","31,139,937.70"
NABIL,2/23/2025,485.1,495,485.1,489.9,-1.01%,"84,304.00","41,366,659.70"
NABIL,2/20/2025,486.1,503.8,486.1,494.9,-0.22%,"44,322.00","21,943,112.10"
NABIL,2/18/2025,500,500,494,496,0.40%,"60,431.00","30,012,969.00"
NABIL,2/17/2025,487,495.9,485.3,494,1.44%,"70,310.00","34,507,660.80"
NABIL,2/16/2025,486.8,488.3,482.9,487,0.31%,"53,350.00","25,859,337.70"
NABIL,2/13/2025,488,490,482.1,485.5,0.10%,"40,707.00","19,745,431.70"
NABIL,2/12/2025,487,487,482.1,485,-0.41%,"51,961.00","25,163,981.50"
NABIL,2/11/2025,492,492,486,487,-0.61%,"29,647.00","14,448,351.10"
NABIL,2/10/2025,486.5,490,484,490,0.76%,"51,838.00","25,208,899.60"
NABIL,2/9/2025,495,495,485,486.3,-0.08%,"49,012.00","23,879,846.40"
NABIL,2/6/2025,494,495,486,486.7,-0.67%,"50,451.00","24,674,687.80"
NABIL,2/5/2025,491.1,493,489.5,490,-0.61%,"70,028.00","34,368,058.90"
NABIL,2/4/2025,500,500,490,493,-0.58%,"53,987.00","26,637,510.80"
NABIL,2/3/2025,492,503,491.4,495.9,0.92%,"109,341.00","54,412,930.60"
NABIL,2/2/2025,479,493.4,476.1,491.4,3.24%,"105,241.00","51,266,050.70"
NABIL,1/28/2025,478,481,475,476,-0.73%,"108,959.00","51,900,828.70"
NABIL,1/27/2025,481,483,477.2,479.5,-0.56%,"62,150.00","29,773,335.50"
NABIL,1/26/2025,492,492,482.1,482.2,-1.19%,"54,531.00","26,437,625.30"
NABIL,1/23/2025,490,492,485.3,488,0.41%,"51,932.00","25,366,955.60"
NABIL,1/22/2025,483,488.8,483,486,0.54%,"62,780.00","30,483,036.60"
NABIL,1/21/2025,484,489,480.3,483.4,-0.23%,"50,098.00","24,175,213.00"
NABIL,1/20/2025,490,495,482.2,484.5,-0.76%,"82,199.00","39,945,308.90"
NABIL,1/19/2025,489,497,485,488.2,-0.18%,"52,392.00","25,518,159.50"
NABIL,1/16/2025,490,495,487,489.1,-0.08%,"51,859.00","25,336,426.10"
NABIL,1/15/2025,492.1,494,489,489.5,0.00%,"52,957.00","25,994,163.70"
NABIL,1/13/2025,491,496,489.5,489.5,-0.22%,"86,269.00","42,428,502.50"
NABIL,1/12/2025,505.4,505.4,490,490.6,-0.99%,"46,984.00","23,132,116.90"
NABIL,1/9/2025,499,500,494,495.5,-0.68%,"138,476.00","68,774,076.30"
NABIL,1/8/2025,510,510,497,498.9,-0.22%,"74,206.00","36,998,891.80"
NABIL,1/7/2025,499,504,498,500,0.20%,"64,195.00","32,074,731.10"
NABIL,1/6/2025,501.5,501.5,498,499,0.00%,"102,420.00","51,118,470.50"
NABIL,1/5/2025,502,504,498,499,-0.06%,"67,379.00","33,640,202.30"
NABIL,1/2/2025,502,502,499,499.3,-0.42%,"43,634.00","21,812,724.40"
NABIL,1/1/2025,502,502.9,500,501.4,-0.12%,"29,808.00","14,928,274.40"
NABIL,12/31/2024,512.7,512.7,498,502,-0.14%,"53,222.00","26,562,216.30"
NABIL,12/29/2024,504.1,508.9,499,502.7,0.14%,"64,296.00","32,322,538.00"
NABIL,12/26/2024,511,511,498,502,0.20%,"127,622.00","64,123,331.60"
NABIL,12/24/2024,503,506,499.1,501,0.00%,"66,517.00","33,391,369.20"
NABIL,12/23/2024,502.9,502.9,498,501,-0.38%,"86,473.00","43,272,734.60"
NABIL,12/22/2024,497.9,511,497.9,502.9,-1.00%,"67,080.00","33,761,555.00"
NABIL,12/19/2024,512,514,508,508,-0.74%,"73,723.00","37,610,350.00"
NABIL,12/18/2024,501.8,520.4,501.8,511.8,-0.04%,"57,475.00","29,470,230.70"
NABIL,12/17/2024,513,518,509.1,512,-0.18%,"53,169.00","27,268,731.10"
NABIL,12/16/2024,520,524,509.7,512.9,-1.37%,"47,147.00","24,175,344.30"
NABIL,12/12/2024,535,538.5,518.3,520,-1.52%,"56,954.00","29,999,645.90"
NABIL,12/11/2024,508,529.8,506.1,528,3.92%,"70,328.00","36,146,924.20"
NABIL,12/10/2024,510,514,505,508.1,-0.37%,"51,966.00","26,432,713.90"
NABIL,12/9/2024,505,516.9,505,510,-0.87%,"54,624.00","27,932,970.60"
NABIL,12/8/2024,526,526,513.5,514.5,-2.00%,"76,545.00","39,566,583.40"
NABIL,12/5/2024,540.6,540.6,523,525,-0.94%,"61,452.00","32,305,643.40"
NABIL,12/4/2024,542.6,542.6,530,530,-0.38%,"69,630.00","36,964,486.10"
NABIL,12/3/2024,544.6,544.6,530.2,532,-0.37%,"62,719.00","33,351,241.10"
NABIL,12/2/2024,546.7,546.7,533,534,-0.37%,"80,685.00","43,132,809.20"
NABIL,12/1/2024,537.3,540,534.1,536,-0.74%,"79,422.00","42,627,477.80"
NABIL,11/28/2024,545,551,539,540,-1.46%,"98,283.00","53,383,609.80"
NABIL,11/27/2024,545,549.5,544,548,0.55%,"59,923.00","32,781,668.00"
NABIL,11/26/2024,547.6,556,540,545,-0.47%,"96,250.00","52,398,724.40"
NABIL,11/25/2024,569.1,569.1,542.7,547.6,-1.86%,"78,417.00","42,826,396.00"
NABIL,11/24/2024,564,564.7,555,558,0.78%,"109,617.00","61,141,240.40"
NABIL,11/21/2024,565,565,552.2,553.7,-0.59%,"56,753.00","31,472,593.90"
NABIL,11/20/2024,560,562,552,557,-0.50%,"61,578.00","34,157,291.30"
NABIL,11/19/2024,560,568,557,559.8,-0.41%,"84,892.00","47,657,769.90"
NABIL,11/17/2024,562,570,562,562.1,0.02%,"62,749.00","35,417,355.50"
NABIL,11/14/2024,566,566,557,562,0.18%,"59,666.00","33,459,901.30"
NABIL,11/13/2024,566.2,570,560.2,561,-0.92%,"48,085.00","27,086,743.40"
NABIL,11/12/2024,570.6,572,566,566.2,-0.49%,"58,126.00","33,088,676.40"
NABIL,11/11/2024,573,579,568,569,-0.18%,"87,145.00","49,937,465.20"
NABIL,11/10/2024,565,573,565,570,0.96%,"108,867.00","61,944,872.80"
NABIL,11/6/2024,565,567,562.8,564.6,-0.42%,"54,129.00","30,511,010.00"
NABIL,11/5/2024,570.1,576,565,567,-1.56%,"98,344.00","55,680,204.40"
NABIL,10/30/2024,580,583,569,576,-2.67%,"215,581.00","124,439,618.60"
NABIL,10/29/2024,595,595,586.1,591.8,1.16%,"38,978.00","23,000,072.20"
NABIL,10/28/2024,585,594.9,583.5,585,-0.34%,"51,581.00","30,212,476.40"
NABIL,10/27/2024,588.09,599,585.1,587,-0.76%,"33,289.00","19,567,963.70"
NABIL,10/24/2024,590.1,600,590,591.5,-0.42%,"41,245.00","24,407,052.40"
NABIL,10/23/2024,591,607.2,591,594,0.51%,"63,996.00","38,422,281.40"
NABIL,10/22/2024,581.5,592,577,591,0.94%,"77,275.00","45,295,626.10"
NABIL,10/21/2024,595,597,584,585.5,-1.93%,"112,249.00","65,959,989.50"
NABIL,10/20/2024,600,606,593,597,-1.66%,"100,302.00","60,079,137.90"
NABIL,10/17/2024,615,619,602,607.1,-0.15%,"70,872.00","43,161,960.00"
NABIL,10/16/2024,608,608,601,608,1.33%,"94,498.00","57,089,953.30"
NABIL,10/15/2024,593,601,593,600,1.18%,"69,441.00","41,603,987.70"
NABIL,10/9/2024,595,595,580,593,0.34%,"38,505.00","22,733,588.64"
NABIL,10/8/2024,592,600,580,591,-0.08%,"65,705.00","39,034,507.70"
NABIL,10/7/2024,584,593.2,580,591.5,3.05%,"69,067.00","40,651,069.60"
NABIL,10/6/2024,565,574,556,574,1.59%,"84,468.00","47,888,610.60"
