Symbol,Symbol,Date,Open,High,Low,Close,Percent Change,Volume ,Turn Over
NIMB,NIMB,6/10/2025,211,214,210,211.97,0.81%,"97,064.00","20,506,050.70"
NIMB,NIMB,6/9/2025,213,213,209,210.26,-0.28%,"69,888.00","14,719,883.00"
NIMB,NIMB,6/8/2025,208,213,208,210.85,-0.43%,"80,069.00","16,865,793.60"
NIMB,NIMB,6/5/2025,212,214.5,210,211.76,-0.48%,"96,617.00","20,470,200.40"
NIMB,NIMB,6/4/2025,214,216.8,210.7,212.79,-0.44%,"75,927.00","16,148,590.50"
NIMB,NIMB,6/3/2025,219,221,213.2,213.72,-2.32%,"143,122.00","30,892,653.50"
NIMB,NIMB,6/2/2025,226.8,228,218.1,218.79,-1.63%,"204,636.00","45,433,416.70"
NIMB,NIMB,5/28/2025,221.5,223.3,214,222.41,2.41%,"224,249.00","49,430,019.10"
NIMB,NIMB,5/27/2025,216,219,212.4,217.17,0.22%,"113,562.00","24,559,628.20"
NIMB,NIMB,5/26/2025,220.7,229,215.9,216.7,0.12%,"216,810.00","47,709,592.60"
NIMB,NIMB,5/25/2025,222.5,223,215,216.44,-2.43%,"262,265.00","56,928,760.20"
NIMB,NIMB,5/22/2025,211,224.4,209.1,221.84,5.13%,"531,030.00","116,269,371.00"
NIMB,NIMB,5/21/2025,214.2,222,210,211.01,0.46%,"188,458.00","40,264,545.10"
NIMB,NIMB,5/20/2025,207,211,204,210.04,2.11%,"90,424.00","18,803,877.20"
NIMB,NIMB,5/19/2025,203.2,206.9,203,205.69,1.02%,"73,052.00","14,973,998.80"
NIMB,NIMB,5/18/2025,205,206,202.1,203.62,-0.01%,"122,703.00","24,978,370.00"
NIMB,NIMB,5/15/2025,204.1,206,203,203.65,-0.28%,"50,873.00","10,366,419.80"
NIMB,NIMB,5/14/2025,205.4,208.7,204.1,204.22,-0.57%,"97,565.00","20,029,973.30"
NIMB,NIMB,5/13/2025,208,208.6,204.1,205.4,0.08%,"91,143.00","18,720,798.10"
NIMB,NIMB,5/11/2025,210,210,205,205.24,-0.88%,"68,493.00","14,162,377.90"
NIMB,NIMB,5/8/2025,214,214,206.2,207.07,-1.31%,"102,310.00","21,288,491.70"
NIMB,NIMB,5/7/2025,201.4,214,201.4,209.82,3.41%,"143,262.00","29,582,785.50"
NIMB,NIMB,5/6/2025,204,204,202.1,202.91,-0.29%,"93,716.00","19,030,795.30"
NIMB,NIMB,5/5/2025,205.5,205.5,201.4,203.51,-0.29%,"49,319.00","10,018,239.70"
NIMB,NIMB,5/4/2025,201,206,201,204.1,1.24%,"86,657.00","17,661,715.30"
NIMB,NIMB,4/30/2025,207.6,207.6,201,201.61,-0.96%,"150,280.00","30,397,349.30"
NIMB,NIMB,4/29/2025,209,209,203,203.56,-0.70%,"153,364.00","31,294,815.70"
NIMB,NIMB,4/28/2025,207,208,204,204.99,-0.98%,"122,811.00","25,249,693.50"
NIMB,NIMB,4/27/2025,210,210,206.2,207.01,-1.18%,"103,414.00","21,456,060.70"
NIMB,NIMB,4/24/2025,208,219.5,204.9,209.48,0.58%,"177,721.00","36,951,221.10"
NIMB,NIMB,4/23/2025,210.3,213,204.9,208.28,-1.53%,"390,865.00","80,877,641.80"
NIMB,NIMB,4/22/2025,213,213.9,209,211.52,-0.58%,"87,977.00","18,543,053.20"
NIMB,NIMB,4/21/2025,220,220,211,212.76,-1.63%,"154,754.00","32,934,104.60"
NIMB,NIMB,4/20/2025,219.4,223.5,215,216.29,0.51%,"114,711.00","24,957,288.50"
NIMB,NIMB,4/17/2025,216,216.7,212.1,215.19,1.24%,"88,087.00","18,926,645.60"
NIMB,NIMB,4/16/2025,217,217,210,212.56,-0.11%,"31,308.00","6,662,656.00"
NIMB,NIMB,4/15/2025,215.7,215.7,211.4,212.79,0.61%,"69,426.00","14,805,064.00"
NIMB,NIMB,4/13/2025,213,216.9,210.8,211.51,-1.18%,"109,321.00","23,222,059.40"
NIMB,NIMB,4/10/2025,215,216.6,212.8,214.03,0.28%,"62,641.00","13,410,780.40"
NIMB,NIMB,4/9/2025,217.8,218,212,213.44,-0.11%,"45,896.00","9,829,574.00"
NIMB,NIMB,4/8/2025,211.4,229,208.2,213.67,0.23%,"111,787.00","23,564,279.10"
NIMB,NIMB,4/7/2025,217,217,213,213.17,-1.13%,"70,903.00","15,215,780.50"
NIMB,NIMB,4/3/2025,212,233,210.1,215.61,1.52%,"176,888.00","38,427,115.70"
NIMB,NIMB,4/2/2025,215,215,210.1,212.39,0.72%,"43,740.00","9,258,048.20"
NIMB,NIMB,4/1/2025,216.8,216.8,210.2,210.87,-1.27%,"65,189.00","13,801,685.10"
NIMB,NIMB,3/30/2025,212,216.8,210,213.58,0.94%,"129,567.00","27,846,712.80"
NIMB,NIMB,3/27/2025,213.7,213.7,209.5,211.59,0.99%,"126,571.00","26,702,095.50"
NIMB,NIMB,3/26/2025,206,209.9,206,209.51,1.22%,"97,172.00","20,250,855.70"
NIMB,NIMB,3/25/2025,214.3,214.3,206.1,206.99,-1.48%,"72,619.00","15,077,447.10"
NIMB,NIMB,3/24/2025,208,212.4,206.1,210.1,1.05%,"80,644.00","16,953,690.70"
NIMB,NIMB,3/23/2025,209.4,212,207.5,207.91,-1.75%,"94,214.00","19,669,266.70"
NIMB,NIMB,3/20/2025,212.8,215.5,211.1,211.61,-1.39%,"102,086.00","21,737,890.70"
NIMB,NIMB,3/19/2025,215,217,213.8,214.6,-0.46%,"77,883.00","16,768,970.00"
NIMB,NIMB,3/18/2025,218,219,215.1,215.6,-0.23%,"41,724.00","9,005,693.40"
,NIMB,3/17/2025,217.7,221,215.1,216.1,-0.73%,"74,714.00","16,229,530.00"
,NIMB,3/16/2025,224.3,224.3,215.5,217.7,-1.05%,"74,085.00","16,051,988.20"
,NIMB,3/12/2025,216.2,222,216.1,220,1.85%,"182,469.00","39,998,634.30"
,NIMB,3/11/2025,218.1,220,215.4,216,-0.92%,"76,434.00","16,596,372.10"
,NIMB,3/10/2025,222,226,216.2,218,0.00%,"207,706.00","45,230,018.40"
,NIMB,3/9/2025,222,223,217.6,218,-1.80%,"138,742.00","30,463,037.50"
,NIMB,3/6/2025,224,224.9,221,222,0.36%,"127,070.00","28,227,707.10"
,NIMB,3/5/2025,225.5,227,221.2,221.2,-2.21%,"168,501.00","37,580,768.40"
,NIMB,3/4/2025,224.7,233.5,224.7,226.2,-1.31%,"208,337.00","47,438,233.10"
,NIMB,3/3/2025,235,237.9,229.1,229.2,-1.84%,"250,979.00","58,176,144.70"
,NIMB,3/2/2025,233.5,234.5,229,233.5,1.97%,"330,159.00","76,276,429.30"
,NIMB,2/27/2025,226.5,238,226,229,3.11%,"266,254.00","60,888,635.20"
,NIMB,2/25/2025,222,225.9,219,222.1,0.05%,"128,913.00","28,470,049.60"
,NIMB,2/24/2025,225,226,220.6,222,-0.22%,"178,974.00","40,036,605.50"
,NIMB,2/23/2025,215,226,211,222.5,1.88%,"215,378.00","47,673,467.60"
,NIMB,2/20/2025,215.6,224,215.6,218.4,-0.73%,"114,874.00","25,216,722.20"
,NIMB,2/18/2025,213.7,225.4,213.7,220,0.92%,"219,012.00","48,608,772.50"
,NIMB,2/17/2025,214,220.3,211.1,218,2.83%,"230,318.00","50,084,035.10"
,NIMB,2/16/2025,210,213,209.6,212,0.86%,"90,629.00","19,129,614.10"
,NIMB,2/13/2025,209,214,209,210.2,0.00%,"67,551.00","14,278,293.30"
,NIMB,2/12/2025,213.9,215,209.9,210.2,0.10%,"106,648.00","22,612,954.30"
,NIMB,2/11/2025,209,214,209,210,-0.10%,"89,489.00","18,864,787.40"
,NIMB,2/10/2025,207,213,207,210.2,-0.38%,"87,919.00","18,521,269.60"
,NIMB,2/9/2025,211.8,213,209.1,211,-0.38%,"74,178.00","15,617,621.80"
,NIMB,2/6/2025,214.9,214.9,210.1,211.8,-0.56%,"80,046.00","16,878,389.50"
,NIMB,2/5/2025,213,215.9,210.5,213,0.00%,"71,186.00","15,089,747.10"
,NIMB,2/4/2025,218.8,219.8,213,213,-1.16%,"134,633.00","29,003,555.70"
,NIMB,2/3/2025,213.5,219.9,213.5,215.5,0.94%,"136,331.00","29,549,250.00"
,NIMB,2/2/2025,208,214.6,208,213.5,2.40%,"179,177.00","38,020,769.80"
,NIMB,1/28/2025,206.1,209.4,206.1,208.5,0.24%,"99,192.00","20,625,938.60"
,NIMB,1/27/2025,204,212.1,204,208,0.00%,"52,532.00","10,904,619.70"
,NIMB,1/26/2025,207,214.3,207,208,-1.42%,"81,668.00","17,030,796.10"
,NIMB,1/23/2025,214,214.9,210,211,-0.28%,"77,298.00","16,395,358.60"
,NIMB,1/22/2025,209,213.6,208.3,211.6,1.49%,"93,954.00","19,790,684.70"
,NIMB,1/21/2025,210,211,207,208.5,0.72%,"84,172.00","17,590,048.70"
,NIMB,1/20/2025,209.9,214,206.8,207,0.58%,"194,243.00","40,850,280.60"
,NIMB,1/19/2025,210.1,210.1,204,205.8,-0.10%,"79,863.00","16,450,831.40"
,NIMB,1/16/2025,213.5,213.5,205,206,-2.14%,"139,566.00","28,856,751.80"
,NIMB,1/15/2025,208.1,211.8,208.1,210.5,-0.19%,"86,540.00","18,193,993.20"
,NIMB,1/13/2025,215.9,215.9,210,210.9,-1.08%,"141,204.00","29,834,962.60"
,NIMB,1/12/2025,216,216.2,213,213.2,-1.30%,"55,315.00","11,826,534.80"
,NIMB,1/9/2025,216,219.8,215.1,216,-0.14%,"102,649.00","22,123,249.60"
,NIMB,1/8/2025,221.9,221.9,216,216.3,-0.60%,"68,556.00","14,871,757.30"
,NIMB,1/7/2025,222.3,222.3,216.5,217.6,-0.18%,"63,648.00","13,923,538.90"
,NIMB,1/6/2025,213,219.2,213,218,0.93%,"48,724.00","10,602,118.70"
,NIMB,1/5/2025,219,219,215,216,-0.46%,"106,701.00","23,023,972.60"
,NIMB,1/2/2025,220,220.9,215.3,217,-0.05%,"87,635.00","18,986,196.10"
,NIMB,1/1/2025,221,222.5,216.9,217.1,-0.87%,"74,573.00","16,269,930.60"
,NIMB,12/31/2024,221,222,215,219,-0.90%,"144,765.00","31,526,295.80"
,NIMB,12/29/2024,230.2,230.2,221,221,-2.08%,"104,775.00","23,520,871.00"
,NIMB,12/26/2024,222.6,236,215,225.7,3.11%,"272,941.00","60,816,526.30"
,NIMB,12/24/2024,218,218.9,213.6,218.9,1.96%,"109,556.00","23,671,577.60"
,NIMB,12/23/2024,211.3,216,211.3,214.7,0.80%,"72,639.00","15,582,477.00"
,NIMB,12/22/2024,212.2,218,212.2,213,-1.62%,"126,245.00","26,992,752.10"
,NIMB,12/19/2024,218,220,216,216.5,-0.92%,"65,812.00","14,259,042.80"
,NIMB,12/18/2024,222.9,222.9,218,218.5,-0.23%,"60,246.00","13,188,805.00"
,NIMB,12/17/2024,219.8,221.5,218,219,0.27%,"91,821.00","20,103,921.80"
,NIMB,12/16/2024,220,222,217,218.4,-1.22%,"114,205.00","24,998,876.00"
,NIMB,12/12/2024,231.5,231.5,221,221.1,-2.60%,"108,790.00","24,487,252.90"
,NIMB,12/11/2024,217.9,229.2,215,227,4.18%,"160,338.00","35,518,628.50"
,NIMB,12/10/2024,217,219,215.1,217.9,0.41%,"65,972.00","14,328,442.50"
,NIMB,12/9/2024,220.9,220.9,216,217,-0.50%,"116,805.00","25,395,577.90"
,NIMB,12/8/2024,220,224,218,218.1,-2.11%,"162,123.00","35,627,802.60"
,NIMB,12/5/2024,225,225,222,222.8,-0.98%,"90,104.00","20,128,803.60"
,NIMB,12/4/2024,221,228.4,221,225,-0.04%,"79,103.00","17,870,519.10"
,NIMB,12/3/2024,229,229,223.6,225.1,-0.18%,"93,942.00","21,183,438.90"
,NIMB,12/2/2024,231.5,231.5,225,225.5,-0.66%,"124,606.00","28,240,472.10"
,NIMB,12/1/2024,235.6,235.6,225.7,227,-1.73%,"151,845.00","34,516,819.40"
,NIMB,11/28/2024,234.9,235,230,231,-0.82%,"105,974.00","24,526,842.80"
,NIMB,11/27/2024,235,236,231.2,232.9,-0.17%,"131,049.00","30,640,789.20"
,NIMB,11/26/2024,232.4,233.5,227,233.3,2.37%,"77,984.00","17,992,802.20"
,NIMB,11/25/2024,231.5,232.5,222.8,227.9,0.40%,"97,556.00","22,192,266.90"
,NIMB,11/24/2024,234.3,234.3,226.6,227,-1.22%,"124,290.00","28,331,204.50"
,NIMB,11/21/2024,230.3,232.9,229,229.8,-1.16%,"116,477.00","26,818,559.10"
,NIMB,11/20/2024,230.2,234,230,232.5,-0.21%,"94,316.00","21,861,571.30"
,NIMB,11/19/2024,237,238,232,233,-1.31%,"130,390.00","30,565,081.90"
,NIMB,11/17/2024,240,244.5,236,236.1,0.13%,"119,460.00","28,607,279.00"
,NIMB,11/14/2024,238,238,234.2,235.8,0.30%,"120,192.00","28,347,394.50"
,NIMB,11/13/2024,238.5,240.9,235,235.1,-1.43%,"91,949.00","21,731,567.20"
